age,workclass,fnlwgt,education,marital-status,occupation,race,sex,capitalgain,capitalloss,hoursperweek,native-country,target
2,0,77516,0,0,0,0,1,1,0,2,0,0
3,1,83311,0,1,1,0,1,0,0,0,0,0
2,2,215646,1,2,2,0,1,0,0,2,0,0
3,2,234721,2,1,2,1,1,0,0,2,0,0
1,2,338409,0,1,3,1,0,0,0,2,1,0
2,2,284582,3,1,1,0,0,0,0,2,0,0
3,2,160187,4,3,4,1,0,0,0,0,2,0
3,1,209642,1,1,1,0,1,0,0,2,0,1
1,2,45781,3,0,3,0,0,4,0,3,0,1
2,2,159449,0,1,1,0,1,2,0,2,0,1
2,2,280464,5,1,1,1,1,0,0,4,0,1
1,0,141297,0,1,3,2,1,0,0,2,3,1
0,2,122272,0,0,0,0,0,0,0,1,0,0
1,2,205019,6,0,5,1,1,0,0,3,0,0
1,2,245487,7,1,6,3,1,0,0,2,4,0
0,1,176756,1,0,7,0,1,0,0,1,0,0
1,2,186824,1,0,8,0,1,0,0,2,0,0
2,2,28887,2,1,5,0,1,0,0,3,0,0
2,1,292175,3,2,1,0,0,0,0,2,0,1
2,2,193524,8,1,3,0,1,0,0,3,0,1
3,2,302146,1,4,4,1,0,0,0,0,0,0
1,3,76845,4,1,7,1,1,0,0,2,0,0
2,2,117037,2,1,6,0,1,0,3,2,0,0
4,2,109015,1,2,9,0,0,0,0,2,0,0
4,4,216851,0,1,9,0,1,0,0,2,0,1
0,2,168294,1,0,10,0,1,0,0,2,0,0
2,2,367260,1,2,1,0,1,0,0,4,0,0
3,2,193366,1,1,10,0,1,0,0,2,0,0
0,4,190709,6,0,11,0,1,0,0,3,0,0
0,2,266015,5,0,5,1,1,0,0,2,0,0
2,2,386940,0,2,1,0,1,0,1,2,0,0
1,3,59951,5,1,0,0,1,0,0,2,0,0
0,0,311512,5,1,4,1,1,0,0,0,0,0
3,2,242406,2,0,8,0,1,0,0,2,5,0
0,2,197200,5,0,8,0,1,0,0,2,0,0
0,2,544091,1,5,0,0,0,0,0,1,0,0
3,1,265477,6,1,3,0,1,0,0,2,0,0
1,2,507875,4,1,8,0,1,0,0,2,0,0
3,1,88506,0,1,3,0,1,0,0,2,0,0
0,2,172987,0,1,9,0,1,0,0,3,0,0
3,2,94638,1,4,0,0,0,0,0,2,0,0
0,2,289980,1,0,2,0,1,0,0,1,0,0
4,3,337895,0,1,3,1,1,0,0,2,0,1
3,2,144361,1,1,8,0,1,0,0,2,0,0
2,2,128354,3,2,1,0,0,0,0,2,0,0
2,0,101603,9,1,10,0,1,0,0,2,0,0
1,2,271466,9,0,3,0,1,0,0,2,0,0
0,2,32275,5,1,1,4,0,0,0,2,0,0
3,2,51835,10,1,3,0,0,0,3,3,6,1
3,3,251585,0,2,1,0,1,0,0,3,0,1
3,5,109832,1,2,1,0,1,0,0,3,0,0
2,2,237993,5,1,9,0,1,0,0,2,0,1
3,2,216666,11,1,8,0,1,0,0,2,4,0
1,2,56352,9,1,4,0,1,0,0,2,5,0
2,2,147372,1,1,0,0,1,0,0,3,0,0
1,2,188146,1,1,8,0,1,2,0,2,0,0
1,2,59496,0,1,5,0,1,1,0,2,0,0
3,2,149640,1,1,6,0,1,0,0,2,0,0
2,2,116632,8,1,3,0,1,0,0,2,0,1
1,2,105598,5,2,9,0,1,0,0,3,0,0
2,2,155537,1,1,10,0,1,0,0,2,0,0
1,2,183175,5,2,0,0,0,0,0,2,0,0
3,2,169846,1,1,0,0,0,0,0,2,0,1
3,5,191681,5,1,1,0,1,0,0,3,0,1
0,2,101509,5,0,3,0,1,0,0,1,0,0
1,2,309974,0,4,5,1,0,0,0,2,0,0
1,1,162298,0,1,5,0,1,0,0,4,0,1
0,2,211678,5,0,8,0,1,0,0,2,0,0
4,2,124744,5,1,3,0,1,0,0,0,0,0
1,2,213921,1,0,4,0,1,0,0,2,4,0
2,2,32214,6,1,0,0,1,0,0,2,0,0
0,2,309634,2,0,4,0,0,0,0,1,0,0
1,4,125927,7,1,7,0,1,0,0,2,0,0
0,2,446839,1,0,5,0,1,0,0,1,0,0
3,2,276515,0,1,4,0,1,0,0,2,1,0
3,2,51618,1,1,4,0,0,0,0,2,0,0
4,2,159937,1,1,5,0,1,0,0,3,0,0
2,2,343591,1,2,10,0,0,4,0,2,0,1
3,2,346253,1,2,5,0,0,0,0,1,0,0
3,4,268234,1,1,11,0,1,0,0,2,0,1
1,2,202051,3,1,3,0,1,0,0,3,0,0
1,2,54334,4,0,5,0,1,0,0,2,0,0
2,3,410867,8,0,3,0,0,0,0,3,0,1
4,2,249977,9,1,3,0,1,0,0,2,0,0
2,2,286730,5,2,10,0,0,0,0,2,0,0
1,2,212563,5,2,8,1,0,0,0,1,0,0
1,4,226296,0,1,11,0,1,0,0,2,0,1
1,4,115585,5,0,2,0,1,0,0,3,0,0
3,1,191277,8,1,3,0,1,0,3,3,0,1
2,2,202683,5,1,5,0,1,0,0,3,0,1
3,2,171095,6,2,1,0,0,0,0,2,7,0
1,3,249409,1,0,4,1,1,0,0,2,0,0
4,2,124191,3,1,1,0,1,0,0,2,0,1
2,2,198282,0,1,1,0,1,4,0,3,0,1
3,1,149116,3,0,3,0,0,0,0,3,0,0
0,2,188300,5,0,9,0,0,0,0,2,0,0
1,2,103432,1,0,10,0,1,0,0,2,0,0
1,5,317660,1,1,10,0,1,3,0,2,0,1
1,2,194901,2,0,2,0,1,0,0,2,0,0
1,4,189265,1,0,0,0,0,0,0,2,0,0
2,2,124692,1,1,2,0,1,0,0,2,0,0
0,2,432376,0,0,5,0,1,0,0,2,0,0
2,2,65324,10,1,3,0,1,0,0,2,0,1
4,1,335605,1,1,4,0,1,0,2,3,8,1
1,2,377869,5,1,5,0,0,2,0,1,0,0
2,2,102864,1,0,8,0,0,0,0,2,0,0
3,2,95647,4,1,2,0,1,0,0,3,0,0
4,5,303090,5,1,5,0,1,0,0,3,0,0
3,4,197371,9,1,10,1,1,0,0,2,0,1
3,2,247552,5,1,5,0,1,0,0,3,0,0
0,2,102632,1,0,10,0,1,0,0,2,0,0
0,2,199915,5,0,4,0,0,0,0,2,0,0
2,2,118853,0,1,1,0,1,0,0,3,0,0
1,2,77143,0,0,1,1,1,0,0,2,9,0
1,0,267989,0,1,3,0,1,0,0,3,0,1
0,2,301606,5,0,4,1,1,0,0,1,0,0
3,2,287828,0,1,1,0,0,0,0,2,0,1
0,2,111697,5,0,0,0,0,0,2,1,0,0
1,2,114937,6,1,0,0,1,0,0,2,0,1
2,2,365739,5,2,10,0,1,0,0,2,0,0
1,2,69621,6,0,5,0,0,0,0,3,0,0
0,2,43323,1,0,4,0,0,0,2,2,0,0
2,1,120985,1,1,10,0,1,2,0,1,0,0
2,2,254202,0,1,5,0,1,0,0,3,0,0
3,2,146195,6,2,9,1,0,0,0,2,0,0
2,3,125933,3,1,3,0,1,0,0,2,10,1
2,1,56920,1,1,10,0,1,0,0,3,0,0
1,2,163127,9,1,0,0,0,0,0,1,0,0
0,2,34310,5,0,5,0,1,0,0,0,0,0
3,2,81973,5,1,10,2,1,0,0,2,0,1
4,5,66614,1,1,10,0,1,0,0,2,0,0
1,2,232782,5,0,5,0,0,0,0,2,0,0
0,2,316868,5,0,4,0,1,0,0,1,4,0
2,2,196584,9,0,3,0,0,0,1,2,0,1
4,2,105376,5,0,9,0,1,0,0,2,0,0
1,2,185814,1,0,6,1,0,0,0,1,0,0
0,2,175374,5,1,4,0,1,0,0,1,0,0
2,2,108293,1,6,4,0,0,0,0,1,0,0
4,2,181232,2,1,10,0,1,0,3,2,0,0
3,4,186009,5,2,0,0,0,0,0,2,4,0
1,2,198183,1,0,0,0,0,0,0,2,0,0
1,2,163003,0,0,1,2,0,0,0,2,11,0
