age,sex,race,diff_custody,diff_jail,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,compas_score
34,Male,African-American,10,10,0,0,0,0,F,0
24,Male,African-American,0,1,4,0,0,1,F,0
23,Male,African-American,46,19,1,0,1,0,F,1
41,Male,Caucasian,18,6,14,0,0,0,F,1
39,Female,Caucasian,3,2,0,0,0,0,M,0
21,Male,Caucasian,1,0,1,0,0,0,F,0
27,Male,Caucasian,1,1,0,0,0,0,F,0
23,Male,African-American,4,4,3,0,0,0,M,1
37,Female,Caucasian,1,0,0,0,0,0,M,0
41,Male,African-American,1,0,0,0,0,0,F,0
47,Female,Caucasian,169,14,1,0,0,0,F,0
31,Male,African-American,3,3,7,0,0,0,F,0
25,Male,African-American,62,1,3,0,0,0,F,1
31,Male,Caucasian,1,1,6,0,0,0,F,1
31,Male,Caucasian,31,1,5,0,0,0,F,0
64,Male,African-American,1,1,13,0,0,0,F,1
21,Male,African-American,1,3,1,0,0,0,F,1
27,Male,Caucasian,0,0,0,0,0,0,M,0
21,Female,Caucasian,1,1,0,0,0,0,F,0
43,Male,Caucasian,1,1,1,0,0,0,M,0
27,Male,African-American,1,17,8,0,0,0,F,0
36,Female,Caucasian,1,0,3,0,0,0,F,0
26,Male,African-American,8,0,5,0,0,1,F,1
33,Male,African-American,21,37,0,0,0,0,F,1
30,Male,Caucasian,1,44,9,0,0,0,F,1
32,Male,African-American,2,1,4,0,0,0,F,1
55,Male,Caucasian,2,2,0,0,0,0,F,0
26,Male,Caucasian,12,12,6,0,0,2,M,1
33,Female,Caucasian,11,11,4,0,0,0,M,1
24,Male,Caucasian,3,1,1,0,0,0,M,0
34,Male,African-American,178,33,21,2,1,3,F,1
29,Male,Caucasian,0,0,0,0,0,0,M,0
21,Female,African-American,1,79,2,0,0,0,F,1
51,Male,African-American,1,1,2,0,0,0,M,0
29,Male,Caucasian,1,0,2,0,0,0,M,0
51,Female,African-American,8,1,7,0,0,0,F,0
29,Male,African-American,28,0,0,0,0,0,F,1
25,Male,Caucasian,9,6,9,0,0,0,M,1
35,Male,African-American,1,0,13,1,0,4,F,1
49,Male,Caucasian,0,0,0,0,0,0,M,0
34,Male,African-American,51,51,4,0,0,0,M,0
29,Male,African-American,0,0,0,0,0,0,F,0
29,Male,Caucasian,0,0,1,0,0,0,F,0
48,Male,Caucasian,1940,10,20,0,0,0,F,1
31,Male,African-American,136,135,15,0,0,1,F,1
24,Male,African-American,2,1,2,0,0,0,F,0
49,Male,African-American,1,0,4,0,0,0,M,0
53,Male,Caucasian,13,13,8,0,0,0,F,1
35,Male,African-American,1,0,5,0,0,0,F,0
63,Male,African-American,36,35,10,0,0,0,M,1
27,Male,African-American,5,1,15,1,1,2,F,1
38,Male,Caucasian,2,1,4,0,0,0,M,0
22,Male,African-American,1,1,1,0,0,1,F,0
22,Male,African-American,124,124,2,0,1,2,F,1
29,Male,African-American,98,18,4,0,0,0,F,1
27,Male,African-American,1,30,6,0,1,0,F,1
