sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,v_decile_score,decile_score_again
Male,31,Caucasian,0,0,0,0,0.0,63.0,O,-1,O,0,2,5
Male,34,African-American,0,0,0,0,-1.0,1.0,F,1,F,1,1,3
Male,24,African-American,0,0,1,4,-1.0,1.0,F,1,M,0,3,4
Male,23,African-American,0,1,0,1,0.0,1.0,F,0,O,0,6,8
Male,41,Caucasian,0,0,0,14,-1.0,1.0,F,1,F,0,2,6
Female,39,Caucasian,0,0,0,0,-1.0,1.0,M,0,O,0,1,1
Male,20,Caucasian,0,0,1,0,-1.0,1.0,F,0,O,0,9,10
Female,26,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,3,5
Male,21,Caucasian,0,0,0,1,428.0,308.0,F,1,M,1,5,3
Male,27,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,4,4
Male,23,African-American,0,0,0,3,0.0,0.0,M,1,M,0,4,6
Female,37,Caucasian,0,0,0,0,0.0,0.0,M,0,O,0,1,1
Male,22,Caucasian,0,0,0,0,0.0,0.0,M,0,O,0,5,3
Male,41,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,2,4
Female,47,Caucasian,0,0,0,1,-20.0,490.0,F,1,F,0,1,1
Male,31,African-American,0,0,0,7,22.0,71.0,F,1,M,0,2,3
Male,25,African-American,0,0,0,3,-1.0,1.0,F,0,O,0,9,10
Male,31,Caucasian,0,0,0,6,-1.0,1.0,F,1,F,1,4,5
Male,31,Caucasian,0,0,0,5,-1.0,1.0,F,1,F,0,2,3
Male,64,African-American,0,0,0,13,-1.0,1.0,F,1,F,0,3,6
Male,21,African-American,0,0,0,1,-1.0,1.0,F,1,M,0,9,9
Male,27,Caucasian,0,0,0,0,0.0,0.0,M,1,M,0,3,2
Female,21,Caucasian,0,0,0,0,-2.0,2.0,F,0,O,0,5,4
Male,42,Caucasian,0,0,0,1,-132.0,133.0,F,0,O,0,1,3
Male,43,Caucasian,0,0,0,1,-1.0,1.0,M,0,O,0,2,1
Female,54,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,5,9
Male,44,African-American,0,0,0,8,0.0,4296.0,M,0,O,0,4,6
Female,49,Caucasian,0,0,0,0,0.0,63.0,O,-1,O,0,1,1
Male,27,African-American,0,0,0,8,-1.0,1.0,F,1,M,1,3,3
Female,36,Caucasian,0,0,0,3,53.0,95.0,F,0,O,0,1,3
Male,26,African-American,0,0,1,5,-1.0,1.0,F,1,M,0,7,7
Male,33,African-American,0,0,0,0,0.0,1.0,F,1,F,1,6,10
Male,30,Caucasian,0,0,0,9,0.0,0.0,F,1,F,0,10,9
Male,32,African-American,0,0,0,4,-1.0,1.0,F,1,M,0,3,8
Male,63,African-American,0,0,0,0,-1.0,1.0,M,0,O,0,1,1
Male,55,Caucasian,0,0,0,0,-1.0,1.0,F,0,O,0,1,1
Male,29,Caucasian,0,0,0,0,0.0,63.0,O,-1,O,0,6,8
Male,32,African-American,0,0,0,15,0.0,0.0,F,0,O,0,8,10
Male,38,African-American,0,0,2,5,-1.0,1.0,F,0,O,0,4,3
Male,53,Caucasian,0,0,0,19,-1.0,1.0,F,0,O,0,2,5
Male,26,Caucasian,0,0,2,6,81.0,382.0,M,0,O,0,8,8
Female,33,Caucasian,0,0,0,4,-1.0,1.0,M,1,F,0,2,5
Male,24,Caucasian,0,0,0,1,0.0,0.0,M,1,F,0,3,2
Male,34,African-American,2,1,3,21,0.0,0.0,F,1,M,0,6,9
Male,29,Caucasian,0,0,0,0,0.0,1.0,M,0,O,0,2,2
Female,21,African-American,0,0,0,2,-1.0,1.0,F,0,O,0,8,8
Male,51,African-American,0,0,0,2,-1.0,1.0,M,0,O,0,1,1
Male,36,African-American,0,0,0,0,0.0,63.0,O,-1,O,0,1,1
Male,29,Caucasian,0,0,0,2,-1.0,1.0,M,1,M,0,2,2
Male,25,African-American,0,0,0,0,-1.0,1.0,F,0,O,0,7,6
Female,51,African-American,0,0,0,7,-1.0,1.0,F,0,O,0,2,2
Male,28,Caucasian,0,0,0,8,0.0,0.0,F,0,O,0,4,7
Male,36,African-American,0,0,0,22,-1.0,1.0,M,0,O,0,10,9
Male,29,African-American,0,0,0,0,0.0,0.0,F,1,M,0,2,7
Male,25,Caucasian,0,0,0,9,-1.0,1.0,M,1,F,1,9,10
