sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,start,end,event,two_year_recid
Male,34,African-American,0,3,0,0,0,-1.0,1.0,F,1,1,3,1,0,9,159,1,1
Male,24,African-American,0,4,0,1,4,-1.0,1.0,F,1,0,4,3,4,0,63,0,1
Male,23,African-American,0,8,1,0,1,3.0,1.0,F,0,0,8,6,1,0,1174,0,0
Male,41,Caucasian,0,6,0,0,14,-1.0,1.0,F,1,0,6,2,14,5,40,1,1
Female,39,Caucasian,0,1,0,0,0,-1.0,1.0,M,0,0,1,1,0,2,747,0,0
Male,21,Caucasian,0,3,0,0,1,428.0,308.0,F,1,1,3,5,1,0,428,1,1
Male,27,Caucasian,0,4,0,0,0,-1.0,1.0,F,0,0,4,4,0,0,857,0,0
Male,23,African-American,0,6,0,0,3,0.0,0.0,M,1,0,6,4,3,4,128,1,1
Female,37,Caucasian,0,1,0,0,0,0.0,0.0,M,0,0,1,1,0,1,1186,0,0
Male,41,African-American,0,4,0,0,0,-1.0,1.0,F,0,0,4,2,0,0,905,0,0
Female,47,Caucasian,0,1,0,0,1,-20.0,490.0,F,1,0,1,1,1,0,216,1,1
Male,31,African-American,0,3,0,0,7,22.0,71.0,F,1,0,3,2,7,0,22,1,1
Male,25,African-American,0,10,0,0,3,-1.0,1.0,F,0,0,10,9,3,0,463,0,0
Male,31,Caucasian,0,5,0,0,6,-1.0,1.0,F,1,1,5,4,6,0,241,1,1
Male,31,Caucasian,0,3,0,0,5,-1.0,1.0,F,1,0,3,2,5,0,163,1,1
Male,64,African-American,0,6,0,0,13,-1.0,1.0,F,1,0,6,3,13,0,1,1,1
Male,21,African-American,0,9,0,0,1,-1.0,1.0,F,1,0,9,9,1,2,30,1,1
Male,27,Caucasian,0,2,0,0,0,0.0,0.0,M,1,0,2,3,0,0,81,1,1
Female,21,Caucasian,0,4,0,0,0,-2.0,2.0,F,0,0,4,5,0,0,861,0,0
Male,43,Caucasian,0,1,0,0,1,-1.0,1.0,M,0,0,1,2,1,0,1162,0,0
Male,27,African-American,0,3,0,0,8,-1.0,1.0,F,1,1,3,3,8,16,116,0,1
Female,36,Caucasian,0,3,0,0,3,53.0,95.0,F,0,0,3,1,3,0,53,0,0
Male,26,African-American,0,7,0,1,5,-1.0,1.0,F,1,0,7,7,5,0,391,0,1
Male,33,African-American,0,10,0,0,0,0.0,1.0,F,1,1,10,6,0,38,215,0,1
Male,30,Caucasian,0,9,0,0,9,0.0,0.0,F,1,0,9,10,9,44,162,1,1
Male,32,African-American,0,8,0,0,4,-1.0,1.0,F,1,0,8,3,4,0,6,1,1
Male,55,Caucasian,0,1,0,0,0,-1.0,1.0,F,0,0,1,1,0,1,823,0,0
Male,26,Caucasian,0,8,0,2,6,81.0,382.0,M,0,0,8,8,6,0,81,0,0
Female,33,Caucasian,0,5,0,0,4,-1.0,1.0,M,1,0,5,2,4,10,223,1,1
Male,24,Caucasian,0,2,0,0,1,0.0,0.0,M,1,0,2,3,1,1,240,1,1
Male,34,African-American,2,9,1,3,21,0.0,0.0,F,1,0,9,6,21,33,514,1,1
Male,29,Caucasian,0,2,0,0,0,0.0,1.0,M,0,0,2,2,0,0,1171,0,0
Female,21,African-American,0,8,0,0,2,-1.0,1.0,F,0,0,8,8,2,79,524,0,0
Male,51,African-American,0,1,0,0,2,-1.0,1.0,M,0,0,1,1,2,0,1128,0,0
Male,29,Caucasian,0,2,0,0,2,-1.0,1.0,M,1,0,2,2,2,0,72,1,1
Female,51,African-American,0,2,0,0,7,-1.0,1.0,F,0,0,2,2,7,1,529,0,0
Male,29,African-American,0,7,0,0,0,0.0,0.0,F,1,0,7,2,0,0,61,1,1
Male,25,Caucasian,0,10,0,0,9,-1.0,1.0,M,1,1,10,9,9,6,8,1,1
Male,35,African-American,1,8,0,4,13,-1.0,1.0,F,1,1,8,3,13,0,9,1,1
Male,49,Caucasian,0,1,0,0,0,0.0,0.0,M,0,0,1,1,0,0,973,0,0
Male,34,African-American,0,3,0,0,4,-59.0,59.0,M,1,0,3,2,4,0,257,1,1
Male,29,African-American,0,4,0,0,0,0.0,1.0,F,0,0,4,3,0,0,1073,0,0
Male,29,Caucasian,0,2,0,0,1,-24.0,24.0,F,1,0,2,2,1,0,441,0,1
Male,48,Caucasian,0,6,0,0,20,302.0,562.0,F,1,0,6,4,20,0,275,1,1
Male,31,African-American,0,5,0,1,15,-1.0,1.0,F,1,0,5,7,15,135,1077,1,0
Male,24,African-American,0,4,0,0,2,-1.0,1.0,F,1,0,4,4,2,1,575,1,1
Male,49,African-American,0,1,0,0,4,-1.0,1.0,M,0,0,1,1,4,0,948,0,0
Male,53,Caucasian,0,5,0,0,8,-13.0,13.0,F,0,0,5,2,8,0,1039,0,0
Male,35,African-American,0,3,0,0,5,-1.0,1.0,F,0,0,3,2,5,0,1145,0,0
Male,63,African-American,0,7,0,0,10,-38.0,906.0,M,1,0,7,5,10,0,44,1,1
Male,27,African-American,1,10,1,2,15,-1.0,1.0,F,1,0,10,9,15,0,44,1,1
Male,38,Caucasian,0,2,0,0,4,-1.0,1.0,M,1,0,2,2,4,1,272,1,1
Male,22,African-American,0,4,0,1,1,-1.0,1.0,F,1,0,4,6,1,0,371,1,1
Male,22,African-American,0,10,1,2,2,70.0,114.0,F,1,0,10,9,2,0,70,0,1
Male,29,African-American,0,9,0,0,4,-1.0,1.0,F,1,0,9,5,4,18,69,0,1
Male,27,African-American,0,6,1,0,6,0.0,0.0,F,1,0,6,3,6,30,193,1,1
Female,56,African-American,0,1,0,0,0,0.0,1.0,M,0,0,1,1,0,3,916,0,0
Male,39,African-American,0,4,0,0,1,-1.0,1.0,M,0,0,4,2,1,4,1121,0,0
Male,29,African-American,0,6,0,0,5,0.0,0.0,F,1,0,6,3,5,1,253,1,1
Male,27,Caucasian,0,6,0,1,1,-1.0,1.0,F,1,0,6,3,1,13,273,0,1
Male,40,African-American,0,2,0,0,2,-15.0,15.0,F,0,0,2,1,2,0,989,0,0
Male,22,African-American,0,3,0,0,1,0.0,1.0,M,1,0,3,3,1,17,256,0,1
Male,22,Caucasian,0,8,0,0,0,-1.0,1.0,F,0,0,8,6,0,57,73,0,0
Female,26,African-American,0,4,0,0,1,-1.0,1.0,F,1,1,4,3,1,1,11,1,1
Male,27,Caucasian,0,7,0,0,1,-43.0,44.0,F,1,1,7,8,1,0,258,1,1
Male,32,African-American,0,2,0,0,0,-1.0,1.0,F,0,0,2,1,0,0,1124,0,0
Male,41,African-American,0,2,0,0,1,-1.0,5185.0,M,0,0,2,2,1,1,1128,0,0
Male,30,African-American,0,10,0,0,8,-1.0,1.0,M,1,1,10,9,8,0,55,1,1
Male,25,African-American,1,10,6,1,14,-1.0,1.0,F,1,1,10,10,14,6,100,1,1
Male,22,African-American,1,9,0,0,2,0.0,0.0,F,1,0,9,10,2,30,175,1,1
Male,23,African-American,0,7,0,1,2,137.0,192.0,M,1,0,7,8,2,0,137,0,1
Female,35,African-American,0,2,0,0,1,-1.0,1.0,M,0,0,2,1,1,0,1098,0,0
Male,36,African-American,0,7,0,0,9,0.0,1.0,F,1,0,7,6,9,4,27,1,1
Male,26,Caucasian,0,8,0,0,7,0.0,1.0,F,1,0,8,4,7,0,377,1,1
Male,25,Caucasian,0,8,0,0,9,-1.0,1.0,F,1,1,8,9,9,0,145,1,1
Male,71,African-American,0,7,0,0,12,3.0,804.0,M,0,0,7,3,12,0,1183,0,0
Female,20,Caucasian,0,7,0,0,0,-1.0,1.0,F,0,0,7,8,0,0,869,0,0
Male,39,Caucasian,0,1,0,0,2,-2.0,3.0,F,1,0,1,1,2,0,63,1,1
Male,66,Caucasian,0,1,0,0,3,-64.0,64.0,F,0,0,1,1,3,0,877,0,0
Female,54,Caucasian,0,1,0,0,0,0.0,1.0,M,0,0,1,1,0,0,1082,0,0
