sex,rank,year,degree,Experience
1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.52,1.0,0.6176470588235294
1.0,1.0,0.4,1.0,0.6470588235294118
0.0,1.0,0.28,1.0,0.7647058823529411
1.0,1.0,0.76,0.0,0.8529411764705882
1.0,1.0,0.64,1.0,0.5882352941176471
0.0,1.0,0.0,0.0,0.9117647058823529
1.0,1.0,0.64,1.0,0.5
1.0,1.0,0.52,0.0,0.8529411764705882
1.0,1.0,0.52,0.0,0.8823529411764706
1.0,1.0,0.48,1.0,0.6176470588235294
1.0,0.5,0.6,1.0,0.5294117647058824
1.0,1.0,0.36,1.0,0.47058823529411764
1.0,0.5,0.36,0.0,0.7647058823529411
1.0,1.0,0.36,1.0,0.6764705882352942
1.0,1.0,0.28,1.0,0.4117647058823529
1.0,1.0,0.52,1.0,0.5588235294117647
1.0,0.5,0.44,0.0,0.38235294117647056
1.0,0.5,0.4,0.0,0.4117647058823529
1.0,1.0,0.24,0.0,0.5882352941176471
1.0,0.0,0.64,0.0,0.6470588235294118
1.0,0.5,0.32,0.0,0.8823529411764706
1.0,1.0,0.28,1.0,0.35294117647058826
0.0,1.0,0.32,1.0,0.6764705882352942
1.0,0.5,0.36,1.0,0.3235294117647059
1.0,1.0,0.2,1.0,0.5
1.0,0.5,0.44,1.0,0.38235294117647056
0.0,1.0,0.2,1.0,0.4411764705882353
1.0,0.5,0.12,0.0,0.17647058823529413
1.0,0.5,0.12,0.0,0.47058823529411764
0.0,0.0,0.4,0.0,0.4117647058823529
1.0,0.5,0.44,0.0,0.8823529411764706
1.0,0.0,0.36,0.0,0.38235294117647056
0.0,0.5,0.16,0.0,0.9411764705882353
0.0,0.5,0.24,0.0,0.8235294117647058
1.0,0.5,0.04,1.0,0.23529411764705882
0.0,0.0,0.32,1.0,0.38235294117647056
1.0,0.0,0.16,1.0,0.08823529411764706
1.0,0.0,0.16,1.0,0.11764705882352941
1.0,0.0,0.16,1.0,0.08823529411764706
1.0,0.0,0.12,1.0,0.08823529411764706
1.0,0.0,0.12,0.0,0.29411764705882354
1.0,0.5,0.0,1.0,0.17647058823529413
0.0,0.0,0.12,1.0,0.058823529411764705
1.0,0.0,0.08,1.0,0.058823529411764705
1.0,0.0,0.08,1.0,0.0
0.0,0.0,0.08,1.0,0.14705882352941177
0.0,0.0,0.08,1.0,0.029411764705882353
1.0,0.0,0.04,1.0,0.0
0.0,0.0,0.04,1.0,0.0
0.0,0.0,0.04,1.0,0.0
0.0,0.0,0.0,1.0,0.029411764705882353
