sex,rank,year,degree,Experience,salary
1,3,25,1,35,1
1,3,13,1,22,1
1,3,10,1,23,1
0,3,7,1,27,1
1,3,19,0,30,1
1,3,16,1,21,1
0,3,0,0,32,1
1,3,16,1,18,1
1,3,13,0,30,1
1,3,13,0,31,1
1,3,12,1,22,1
1,2,15,1,19,1
1,3,9,1,17,1
1,2,9,0,27,0
1,3,9,1,24,1
1,3,7,1,15,1
1,3,13,1,20,1
1,2,11,0,14,1
1,2,10,0,15,0
1,3,6,0,21,1
1,1,16,0,23,0
1,2,8,0,31,0
1,3,7,1,13,1
0,3,8,1,24,1
1,2,9,1,12,1
1,3,5,1,18,1
1,2,11,1,14,1
0,3,5,1,16,1
1,2,3,0,7,1
1,2,3,0,17,1
0,1,10,0,15,0
1,2,11,0,31,0
1,1,9,0,14,0
0,2,4,0,33,0
0,2,6,0,29,0
1,2,1,1,9,0
0,1,8,1,14,0
1,1,4,1,4,0
1,1,4,1,5,0
1,1,4,1,4,0
1,1,3,1,4,0
1,1,3,0,11,0
1,2,0,1,7,0
0,1,3,1,3,0
1,1,2,1,3,0
1,1,2,1,1,0
0,1,2,1,6,0
0,1,2,1,2,0
1,1,1,1,1,0
0,1,1,1,1,0
0,1,1,1,1,0
0,1,0,1,2,0
