Model-count,Data-Split,H1Units,H2units,Batch,Removal-point,Discm-percent
0,0,16,8,50,0,9.403
0,0,16,8,50,1,8.848
0,0,16,8,50,2,9.509
0,0,16,8,50,3,9.181
0,0,16,8,50,4,7.431
0,0,16,8,50,5,7.668
0,0,16,8,50,6,5.898
0,0,16,8,50,7,7.185
0,0,16,8,50,8,6.236
0,0,16,8,50,9,6.452
0,0,16,8,50,10,5.901
0,0,16,8,50,11,4.264
0,0,16,8,50,12,5.289
0,0,16,8,50,13,4.287
0,0,16,8,50,14,4.043
0,0,16,8,50,15,4.139
0,0,16,8,50,16,3.556
0,0,16,8,50,17,2.574
0,0,16,8,50,18,2.73
0,0,16,8,50,19,2.301
0,0,16,8,50,20,1.388
0,0,16,8,50,21,1.195
0,0,16,8,50,22,0.854
0,0,16,8,50,23,1.1
0,0,16,8,50,24,0.187
0,0,16,8,50,25,0.058
0,0,16,8,50,26,0.595
0,0,16,8,50,27,1.653
0,0,16,8,50,28,1.72
0,0,16,8,50,29,2.636
0,0,16,8,50,30,2.269
0,0,16,8,50,31,2.897
0,0,16,8,50,32,2.863
0,0,16,8,50,33,3.612
0,0,16,8,50,34,4.132
0,0,16,8,50,35,3.278
0,0,16,8,50,36,4.32
0,0,16,8,50,37,5.234
0,0,16,8,50,38,5.173
0,0,16,8,50,39,6.294
0,0,16,8,50,40,6.718
0,0,16,8,50,41,6.81
0,0,16,8,50,42,6.094
0,0,16,8,50,43,5.989
0,0,16,8,50,44,7.125
0,0,16,8,50,45,7.887
0,0,16,8,50,46,7.913
0,0,16,8,50,47,8.718
0,0,16,8,50,48,9.536
0,0,16,8,50,49,9.378
0,0,16,8,50,50,9.753
0,0,16,8,50,51,9.381
0,0,16,8,50,52,10.279
0,0,16,8,50,53,9.654
0,0,16,8,50,54,10.13
0,0,16,8,50,55,9.402
0,0,16,8,50,56,11.073
0,0,16,8,50,57,10.158
0,0,16,8,50,58,11.117
0,0,16,8,50,59,10.491
0,0,16,8,50,60,11.301
0,0,16,8,50,61,10.923
0,0,16,8,50,62,11.676
0,0,16,8,50,63,11.134
0,0,16,8,50,64,10.768
0,0,16,8,50,65,10.763
0,0,16,8,50,66,10.493
0,0,16,8,50,67,10.404
0,0,16,8,50,68,10.978
0,0,16,8,50,69,10.135
0,0,16,8,50,70,10.272
0,0,16,8,50,71,10.162
0,0,16,8,50,72,10.511
0,0,16,8,50,73,10.466
0,0,16,8,50,74,11.082
0,0,16,8,50,75,11.315
0,0,16,8,50,76,11.184
0,0,16,8,50,77,10.235
0,0,16,8,50,78,9.877
0,0,16,8,50,79,10.181
0,0,16,8,50,80,9.905
0,0,16,8,50,81,10.285
0,0,16,8,50,82,11.346
0,0,16,8,50,83,10.644
0,0,16,8,50,84,11.721
1,0,16,8,100,0,9.67
1,0,16,8,100,1,9.013
1,0,16,8,100,2,8.05
1,0,16,8,100,3,7.85
1,0,16,8,100,4,5.971
1,0,16,8,100,5,5.476
1,0,16,8,100,6,5.905
1,0,16,8,100,7,5.589
1,0,16,8,100,8,3.729
1,0,16,8,100,9,2.671
1,0,16,8,100,10,2.168
1,0,16,8,100,11,3.409
1,0,16,8,100,12,1.281
1,0,16,8,100,13,0.731
1,0,16,8,100,14,0.151
1,0,16,8,100,15,0.014
1,0,16,8,100,16,0.129
1,0,16,8,100,17,1.448
1,0,16,8,100,18,1.06
1,0,16,8,100,19,2.511
1,0,16,8,100,20,2.253
1,0,16,8,100,21,3.725
1,0,16,8,100,22,3.911
1,0,16,8,100,23,4.393
1,0,16,8,100,24,4.786
1,0,16,8,100,25,4.454
1,0,16,8,100,26,6.269
1,0,16,8,100,27,6.47
1,0,16,8,100,28,5.741
1,0,16,8,100,29,6.927
1,0,16,8,100,30,8.602
1,0,16,8,100,31,9.333
1,0,16,8,100,32,8.87
1,0,16,8,100,33,9.397
1,0,16,8,100,34,10.486
1,0,16,8,100,35,10.929
1,0,16,8,100,36,10.101
1,0,16,8,100,37,10.848
1,0,16,8,100,38,11.647
1,0,16,8,100,39,11.36
1,0,16,8,100,40,12.139
1,0,16,8,100,41,12.478
1,0,16,8,100,42,12.249
1,0,16,8,100,43,10.661
1,0,16,8,100,44,12.383
1,0,16,8,100,45,12.076
1,0,16,8,100,46,12.584
1,0,16,8,100,47,13.479
1,0,16,8,100,48,13.24
1,0,16,8,100,49,14.054
1,0,16,8,100,50,14.142
1,0,16,8,100,51,15.15
1,0,16,8,100,52,14.984
1,0,16,8,100,53,16.225
1,0,16,8,100,54,16.492
1,0,16,8,100,55,16.589
1,0,16,8,100,56,16.754
1,0,16,8,100,57,16.894
1,0,16,8,100,58,17.455
1,0,16,8,100,59,17.56
1,0,16,8,100,60,18.155
1,0,16,8,100,61,18.114
1,0,16,8,100,62,18.678
1,0,16,8,100,63,19.616
1,0,16,8,100,64,20.183
1,0,16,8,100,65,20.786
1,0,16,8,100,66,21.004
1,0,16,8,100,67,20.926
1,0,16,8,100,68,21.398
1,0,16,8,100,69,21.736
1,0,16,8,100,70,22.203
1,0,16,8,100,71,22.4
1,0,16,8,100,72,22.375
1,0,16,8,100,73,23.54
1,0,16,8,100,74,23.531
1,0,16,8,100,75,24.741
1,0,16,8,100,76,25.083
1,0,16,8,100,77,24.953
1,0,16,8,100,78,25.18
1,0,16,8,100,79,25.326
1,0,16,8,100,80,25.626
1,0,16,8,100,81,26.401
1,0,16,8,100,82,26.35
1,0,16,8,100,83,26.898
1,0,16,8,100,84,26.366
2,0,16,12,50,0,9.425
2,0,16,12,50,1,8.765
2,0,16,12,50,2,8.374
2,0,16,12,50,3,8.824
2,0,16,12,50,4,8.283
2,0,16,12,50,5,7.863
2,0,16,12,50,6,7.951
2,0,16,12,50,7,6.384
2,0,16,12,50,8,6.727
2,0,16,12,50,9,5.494
2,0,16,12,50,10,5.765
2,0,16,12,50,11,5.649
2,0,16,12,50,12,5.048
2,0,16,12,50,13,4.07
2,0,16,12,50,14,4.444
2,0,16,12,50,15,4.306
2,0,16,12,50,16,4.025
2,0,16,12,50,17,2.97
2,0,16,12,50,18,2.627
2,0,16,12,50,19,2.436
2,0,16,12,50,20,2.564
2,0,16,12,50,21,2.034
2,0,16,12,50,22,1.459
2,0,16,12,50,23,1.328
2,0,16,12,50,24,0.553
2,0,16,12,50,25,0.29
2,0,16,12,50,26,0.197
2,0,16,12,50,27,1.259
2,0,16,12,50,28,0.88
2,0,16,12,50,29,1.902
2,0,16,12,50,30,1.584
2,0,16,12,50,31,1.785
2,0,16,12,50,32,3.231
2,0,16,12,50,33,3.284
2,0,16,12,50,34,3.238
2,0,16,12,50,35,2.634
2,0,16,12,50,36,3.642
2,0,16,12,50,37,3.296
2,0,16,12,50,38,4.055
2,0,16,12,50,39,5.488
2,0,16,12,50,40,5.194
2,0,16,12,50,41,6.354
2,0,16,12,50,42,5.869
2,0,16,12,50,43,6.128
2,0,16,12,50,44,6.568
2,0,16,12,50,45,6.469
2,0,16,12,50,46,6.501
2,0,16,12,50,47,7.132
2,0,16,12,50,48,7.73
2,0,16,12,50,49,7.905
2,0,16,12,50,50,8.196
2,0,16,12,50,51,8.012
2,0,16,12,50,52,8.169
2,0,16,12,50,53,8.867
2,0,16,12,50,54,9.094
2,0,16,12,50,55,9.587
2,0,16,12,50,56,8.242
2,0,16,12,50,57,8.972
2,0,16,12,50,58,9.894
2,0,16,12,50,59,10.068
2,0,16,12,50,60,10.132
2,0,16,12,50,61,9.703
2,0,16,12,50,62,10.048
2,0,16,12,50,63,9.466
2,0,16,12,50,64,8.971
2,0,16,12,50,65,9.146
