Points removed: 0, Discriminating Tests: 11501
Points removed: 1, Discriminating Tests: 9939
Points removed: 2, Discriminating Tests: 8839
Points removed: 3, Discriminating Tests: 8615
Points removed: 4, Discriminating Tests: 6810
Points removed: 5, Discriminating Tests: 6257
Points removed: 6, Discriminating Tests: 7269
Points removed: 7, Discriminating Tests: 6375
Points removed: 8, Discriminating Tests: 4574
Points removed: 9, Discriminating Tests: 3430
Points removed: 10, Discriminating Tests: 2663
Points removed: 11, Discriminating Tests: 3413
Points removed: 12, Discriminating Tests: 2064
Points removed: 13, Discriminating Tests: 1457
Points removed: 14, Discriminating Tests: 907
Points removed: 15, Discriminating Tests: 787
Points removed: 16, Discriminating Tests: 524
Points removed: 17, Discriminating Tests: 1408
Points removed: 18, Discriminating Tests: 619
Points removed: 19, Discriminating Tests: 2042
Points removed: 20, Discriminating Tests: 1814
Points removed: 21, Discriminating Tests: 3104
Points removed: 22, Discriminating Tests: 3083
Points removed: 23, Discriminating Tests: 3638
Points removed: 24, Discriminating Tests: 4453
Points removed: 25, Discriminating Tests: 4072
Points removed: 26, Discriminating Tests: 5268
Points removed: 27, Discriminating Tests: 5744
Points removed: 28, Discriminating Tests: 5313
Points removed: 29, Discriminating Tests: 6437
Points removed: 30, Discriminating Tests: 8119
Points removed: 31, Discriminating Tests: 8898
Points removed: 32, Discriminating Tests: 7827
Points removed: 33, Discriminating Tests: 9032
Points removed: 34, Discriminating Tests: 9523
Points removed: 35, Discriminating Tests: 10444
Points removed: 36, Discriminating Tests: 9427
Points removed: 37, Discriminating Tests: 10350
Points removed: 38, Discriminating Tests: 11538
Points removed: 39, Discriminating Tests: 11117
Points removed: 40, Discriminating Tests: 11656
Points removed: 41, Discriminating Tests: 11931
Points removed: 42, Discriminating Tests: 12100
Points removed: 43, Discriminating Tests: 13362
Points removed: 44, Discriminating Tests: 13997
Points removed: 45, Discriminating Tests: 14267
Points removed: 46, Discriminating Tests: 13962
Points removed: 47, Discriminating Tests: 14604
Points removed: 48, Discriminating Tests: 15429
Points removed: 49, Discriminating Tests: 15803
Points removed: 50, Discriminating Tests: 15451
Points removed: 51, Discriminating Tests: 16549
Points removed: 52, Discriminating Tests: 16809
Points removed: 53, Discriminating Tests: 17584
Points removed: 54, Discriminating Tests: 17404
Points removed: 55, Discriminating Tests: 17569
Points removed: 56, Discriminating Tests: 18248
Points removed: 57, Discriminating Tests: 17917
Points removed: 58, Discriminating Tests: 19755
Points removed: 59, Discriminating Tests: 19001
Points removed: 60, Discriminating Tests: 19985
Points removed: 61, Discriminating Tests: 20773
Points removed: 62, Discriminating Tests: 20435
Points removed: 63, Discriminating Tests: 20494
Points removed: 64, Discriminating Tests: 21245
Points removed: 65, Discriminating Tests: 22422
Points removed: 66, Discriminating Tests: 22741
Points removed: 67, Discriminating Tests: 22401
Points removed: 68, Discriminating Tests: 23042
Points removed: 69, Discriminating Tests: 23623
Points removed: 70, Discriminating Tests: 24590
Points removed: 71, Discriminating Tests: 24042
Points removed: 72, Discriminating Tests: 24114
Points removed: 73, Discriminating Tests: 24777
Points removed: 74, Discriminating Tests: 24916
Points removed: 75, Discriminating Tests: 25542
Points removed: 76, Discriminating Tests: 25997
Points removed: 77, Discriminating Tests: 26610
Points removed: 78, Discriminating Tests: 26641
Points removed: 79, Discriminating Tests: 26953
