H1Units,H2Units,Batch,Points-Removed,Training-Accuracy,Test-Accuracy,Discrimination
16,8,50,22,0.7551282051282051,0.71,1797
16,8,50,23,0.7573812580231065,0.72,1026
16,8,50,24,0.7609254498714653,0.725,725
16,8,50,25,0.7593307593307593,0.725,99
16,8,50,26,0.759020618556701,0.725,479
16,8,50,27,0.76,0.73,637
16,8,50,28,0.7583979328165374,0.725,1413
16,8,100,22,0.7525641025641026,0.72,1267
16,8,100,23,0.7573812580231065,0.725,529
16,8,100,24,0.7609254498714653,0.73,689
16,8,100,25,0.758043758043758,0.73,728
16,8,100,26,0.759020618556701,0.73,396
16,8,100,27,0.7587096774193548,0.73,744
16,8,100,28,0.7558139534883721,0.725,1030
16,12,50,22,0.7538461538461538,0.71,1828
16,12,50,23,0.7522464698331194,0.725,937
16,12,50,24,0.7622107969151671,0.725,702
16,12,50,25,0.7593307593307593,0.72,156
16,12,50,26,0.7577319587628866,0.725,397
16,12,50,27,0.76,0.73,618
16,12,50,28,0.7583979328165374,0.725,1356
16,12,100,22,0.7525641025641026,0.725,1254
16,12,100,23,0.7560975609756098,0.73,544
16,12,100,24,0.7609254498714653,0.73,696
16,12,100,25,0.7593307593307593,0.73,693
16,12,100,26,0.7577319587628866,0.73,282
16,12,100,27,0.7587096774193548,0.73,748
16,12,100,28,0.7558139534883721,0.725,1035
24,8,50,22,0.7538461538461538,0.71,1810
24,8,50,23,0.754813863928113,0.71,940
24,8,50,24,0.7609254498714653,0.73,759
24,8,50,25,0.7606177606177607,0.725,127
24,8,50,26,0.759020618556701,0.725,443
24,8,50,27,0.76,0.73,493
24,8,50,28,0.7583979328165374,0.725,1473
24,8,100,22,0.7525641025641026,0.725,1257
24,8,100,23,0.7560975609756098,0.73,545
24,8,100,24,0.7596401028277635,0.73,778
24,8,100,25,0.7593307593307593,0.73,644
24,8,100,26,0.759020618556701,0.73,439
24,8,100,27,0.7587096774193548,0.73,749
24,8,100,28,0.7558139534883721,0.725,1033
24,12,50,22,0.7538461538461538,0.71,1847
24,12,50,23,0.754813863928113,0.725,941
24,12,50,24,0.7609254498714653,0.73,724
24,12,50,25,0.7606177606177607,0.725,211
24,12,50,26,0.7577319587628866,0.725,424
24,12,50,27,0.76,0.73,599
24,12,50,28,0.7583979328165374,0.725,1502
24,12,100,22,0.7525641025641026,0.72,1276
24,12,100,23,0.754813863928113,0.725,605
24,12,100,24,0.7596401028277635,0.73,743
24,12,100,25,0.7593307593307593,0.73,657
24,12,100,26,0.7564432989690721,0.73,455
24,12,100,27,0.7587096774193548,0.73,743
24,12,100,28,0.7558139534883721,0.725,1032
32,8,50,22,0.7538461538461538,0.71,1817
32,8,50,23,0.7573812580231065,0.72,926
32,8,50,24,0.7609254498714653,0.73,727
32,8,50,25,0.7606177606177607,0.725,31
32,8,50,26,0.759020618556701,0.725,324
32,8,50,27,0.76,0.73,528
32,8,50,28,0.7583979328165374,0.725,1522
32,8,100,22,0.7512820512820513,0.72,1215
32,8,100,23,0.7560975609756098,0.73,558
32,8,100,24,0.7583547557840618,0.725,776
32,8,100,25,0.7554697554697555,0.73,586
32,8,100,26,0.7564432989690721,0.73,441
32,8,100,27,0.7587096774193548,0.73,754
32,8,100,28,0.7558139534883721,0.725,1036
32,12,50,22,0.7551282051282051,0.71,1817
32,12,50,23,0.754813863928113,0.725,953
32,12,50,24,0.7622107969151671,0.725,750
32,12,50,25,0.7593307593307593,0.72,68
32,12,50,26,0.7577319587628866,0.725,370
32,12,50,27,0.76,0.73,659
32,12,50,28,0.7583979328165374,0.725,1436
32,12,100,22,0.7525641025641026,0.72,1266
32,12,100,23,0.754813863928113,0.725,577
32,12,100,24,0.7596401028277635,0.73,730
32,12,100,25,0.7593307593307593,0.73,654
32,12,100,26,0.7577319587628866,0.73,495
32,12,100,27,0.7587096774193548,0.73,741
32,12,100,28,0.7558139534883721,0.725,1033
32,8,50,0,0.9097345132743363,0.705,20505
24,8,50,0,0.9097345132743363,0.705,20487
16,8,50,0,0.9097345132743363,0.705,20509
16,12,50,0,0.9097345132743363,0.705,20478
32,12,50,0,0.9097345132743363,0.71,20488
24,12,50,0,0.9079646017699115,0.71,20536
16,8,100,0,0.9079646017699115,0.71,20263
32,12,100,0,0.9097345132743363,0.71,20259
24,12,100,0,0.9097345132743363,0.71,20265
32,8,100,0,0.9079646017699115,0.71,20219
24,8,100,0,0.9079646017699115,0.71,20271
16,12,100,0,0.9079646017699115,0.71,20223
